ID,DATE,NAME,EVENT
457, 1989-10        , Guildford Four Released              , The Guildford Four were released by the Court of Appeal.                   
458, 1989-10        , Adams Criticises Cahal Daly          , Adams attacked Cahal Daly as an ‘enthusiastic supporter of the RUC’.       
459, 1989-11        , Brooke’s Ceasefire Remarks           ," NI Secretary Peter Brooke said the IRA could not be militarily defeated and that the government would have to be imaginative and flexible in its response if there was a ceasefire, citing the example of Cyprus. "
460, 1989-11        , Sinn Féin Rejects Preconditions      , Republican News said Sinn Féin would not consider talks with British as long as there was a precondition of an IRA ceasefire. 
461, 1989-11        , Conservative Party Affiliation       , The Conservative party accepted the affiliation of four NI Conservative Associations. 
462, 1989-11        , Cahal Daly on Settlement             , Cahal Daly said if the IRA ended its campaign ‘a just settlement could be agreed much more quickly than the sceptics believe’. 
463, 1989-11        , *Scenario for Peace* Relaunch        ," Adams and McGuinness relaunched Sinn Féin’s *Scenario for Peace* document, denying the existence of any debate in the republican movement about ceasefires. "
464, 1989-11        , Ó Fiaich on British Withdrawal       , Cardinal Ó Fiaich urged the British to state that they would not stay ‘for all time’. 
465, 1989-12        , Adams Calls for Talks                , Adams said the British should hold talks with Sinn Féin ‘sooner rather than later’. 
466,1989, IRA End-of-Decade Statement          , The IRA stated that the 1980s ended with the British admitting they could not defeat the IRA. 
467, 1990-01        , Brooke’s Talks Initiative            , Brooke launched a major political talks initiative. Unionists demanded the suspension of the Anglo-Irish Agreement as a precondition. 
468, 1990-01        , Adams Criticises SDLP                , Adams accused the SDLP of ‘consistent and inexcusable failure on the national question over the last twenty years’. 
469, 1990-02        , Sinn Féin Ard Fheis Stance           , Sinn Féin rejected demands for an IRA ceasefire as a precondition for talks. Adams said Brooke’s remarks made talks inevitable. 
470, 1990-03        , McGimpsey Judgment                   ," The Dublin Supreme Court ruled that Articles 2 and 3 of the Irish constitution asserted a legal claim to NI, not just an aspiration. "
471, 1990-04        , Adams on Ceasefire Possibility       , Adams said an unannounced IRA ceasefire was possible if Britain entered talks about disengagement. The NIO refused to negotiate. 
472, 1990-06        , IRA Attacks in Britain               ," The IRA bombed a Territorial Army base, Lord McAlpine’s home, an RAF base, and the Carlton Club in London. "
473, 1990-07        , London Stock Exchange Bombing        , The IRA planted a bomb at the London Stock Exchange.                       
474, 1990-07        , Ian Gow Assassination                , Conservative MP Ian Gow was killed by an IRA bomb at his Sussex home.      
475, 1990-08        , Farrar-Hockley Bomb Plot             , An IRA bomb was found at the home of former NI army commander Sir Anthony Farrar-Hockley. 
476, 1990-09        , IRA Bombings in England              , An IRA bomb exploded at an army recruiting office in Derby. The Governor of Gibraltar was wounded in a Staffordshire attack. 
477, 1990-11        , Mary Robinson Elected                , Mary Robinson became the first female President of Ireland.                
478, 1990-11        , Brooke’s ‘No Selfish Interest’ Speech, Brooke stated Britain had ‘no selfish strategic or economic interest’ in maintaining the Union. 
479, 1990-12        , IRA Christmas Ceasefire              , The IRA declared its first three-day Christmas ceasefire in 15 years.      
480, 1991-01        , Sinn Féin on IRA Autonomy            ," Sinn Féin chairman Tom Hartley said the IRA would speak for itself, distancing the party from direct representation. "
481, 1991-02        , Downing Street Mortar Attack         ," The IRA fired mortars at Downing Street, landing near PM Major’s residence. "
482, 1991-02        , London Bombings                      , An IRA bomb killed one at Victoria Station; another disrupted Paddington. Major vowed not to yield to terrorism. 
483, 1991-03        , Brooke’s Three-Strand Talks          ," Brooke proposed talks on three strands: internal NI governance, North-South relations, and UK-Ireland ties. "
484, 1991-04        , Loyalist Ceasefire                   , Loyalist groups declared a ceasefire during a 10-week gap in Anglo-Irish meetings. 
485, 1991-06        , Adams Criticises Brooke Talks        , Adams called the Brooke talks a ‘non-starter’ without Sinn Féin and urged US intervention. 
486, 1991-07        , Brooke Talks Collapse                , The Brooke talks ended without agreement.                                  
487, 1991-08        , McGuinness on Peace Agenda           , McGuinness said Sinn Féin was ready to ‘risk everything’ for peace.        
488, 1991-12        , IRA Christmas Ceasefire              ," The IRA announced a three-day ceasefire, urging a ‘real peace process’.    "
489, 1992-01        , Teebane Massacre                     , Eight Protestant workers were killed by an IRA bomb in County Tyrone.      
490, 1992-02        , Ormeau Road Attack                   , Loyalists killed five Catholics in a gun attack on a Belfast bookmaker’s office. 
491, 1992-03        , London Bombings                      ," IRA bombs exploded at Tottenham, Wandsworth, and Liverpool Street stations. "
492, 1992-04        , Clinton’s Adams Visa Pledge          , Presidential candidate Bill Clinton pledged to lift Adams’ US visa ban.    
493, 1992-04        , Baltic Exchange Bombing              , An IRA bomb in London’s financial district killed three and caused massive damage. 
494, 1992-06        , Yorkshire Policeman Killing          , An IRA gunman killed a policeman in Yorkshire; bombs targeted London landmarks. 
495, 1992-09        , Forensic Science Centre Bombing      ," A 2,000lb IRA bomb wrecked the NI Forensic Science centre in Belfast.      "
496, 1992-10        , London Bombing Campaign              ," Multiple IRA bombs disrupted central London, including Covent Garden.      "
497, 1992-12        , Mayhew’s Coleraine Speech            , Mayhew noted ‘fresh thinking’ in republican circles. Adams demanded British action on partition. 
498, 1993-01        , Mayhew’s Call for Renunciation       , Mayhew urged the IRA to renounce violence. Adams demanded direct talks.    
499, 1993-03        , Warrington Bombing                   ," Two boys were killed in an IRA explosion in Warrington, England.           "
500, 1993-04        , Hume-Adams Talks Revealed            ," Secret talks between Hume and Adams were disclosed, focusing on self-determination. "
501, 1993-04        , Bishopsgate Bombing                  ," An IRA lorry bomb caused massive damage in London’s financial district, killing one. "
502, 1993-05        , Adams Denied US Visa                 , Adams was barred from entering the US despite Clinton’s earlier pledge.   
503, 1993-06        , Hume-Adams Progress                  , Hume and Adams announced progress toward a ‘lasting peace’ strategy.       
504, 1993-08        , IRA on Peace Readiness               , The IRA said it was ready for a ‘meaningful peace process’ but vowed continued resistance. 
505, 1993-09        , Armagh Bombing                       ," A 1,000lb IRA bomb exploded in Armagh city centre.                         "
506, 1993-10        , Shankill Road Bombing                , An IRA bomb targeting UDA leaders killed nine civilians and an IRA member. 
507, 1993-10        , Greysteel Massacre                   ," The UDA killed seven Catholics in a pub attack, retaliating for Shankill.  "
508, 1993-11        , Major Rejects Hume-Adams             ," PM Major rejected the Hume-Adams initiative, insisting on IRA disarmament. "
509, 1993-11        , Secret British-IRA Contacts Exposed  , Details emerged of clandestine talks between the British government and the IRA. 
510, 1993-11        , Mayhew Releases Contact Documents    , Mayhew published the British government’s version of secret IRA–government contacts. Paisley called Mayhew a liar and was suspended from the Commons. 
511, 1993-12        , Reynolds on Self-Determination       ," Reynolds affirmed the right to national self-determination ""based on consent freely given, north and south"" as part of the peace process. "
512, 1993-12        , Downing Street Declaration Signed    ," Major and Reynolds signed the declaration, affirming NI’s future would be decided by its people and demanding IRA renunciation of violence. "
513, 1993-12        , IRA Ceasefire and Clarification Demands ," The IRA declared a three-day ceasefire. Adams demanded clarification of the declaration, while Major insisted no undermining of the Union. "
514, 1994-01        , Adams Seeks Clarification            ," Adams wrote to Major seeking clarification of the Downing Street Declaration. Mayhew refused, calling it negotiation. "
515, 1994-01        , Clinton Grants Adams Visa             ," Against British advice, Clinton granted Adams a visa to visit the US. Adams addressed a conference in New York. "
516, 1994-02        , Loyalist Attack in Loughinisland      , Six Catholics were killed in a loyalist attack on a pub in County Down.     
517, 1994-03        , IRA Heathrow Mortar Attacks           ," The IRA launched mortar attacks on Heathrow Airport (none exploded). Adams called them a ""spectacular"" reminder of conflict. "
518, 1994-04        , IRA Ceasefire and Violence            , The IRA declared a three-day ceasefire but later killed an alleged drug dealer and attacked others. Reynolds questioned republican sincerity. 
519, 1994-06        , Chinook Helicopter Crash              ," A crash in Scotland killed 25 RUC officers, army intelligence, and MI5 personnel. "
520, 1994-08        , IRA Announces Ceasefire               ," The IRA declared a ""complete cessation"" of its campaign. Major demanded proof of permanence; Reynolds called it ""for good."" "
521, 1994-09        , Reynolds-Hume-Adams Meeting           ," Reynolds, Hume, and Adams met in Dublin, publicly committing to ""peaceful and democratic methods."" "
522, 1994-09        , Loyalist Ceasefire                    ," The CLMC declared a loyalist ceasefire, expressing remorse for innocent victims. "
523, 1994-10        , Troop Withdrawals Begin               , Soldiers withdrew from street patrols in Derry and Tyrone. Major lifted travel bans on Adams and McGuinness. 
524, 1994-11        , Frank Kerr Killing                    ," An IRA member killed a post office worker during a robbery. Adams expressed ""shock,"" and prisoner releases were suspended. "
525, 1994-12        , UK-Sinn Féin Talks Begin              , The first official talks between British officials and Sinn Féin began. Decommissioning emerged as a key obstacle. 
526, 1994-12        , Mitchell Appointed US Envoy           , Clinton named George Mitchell as economic envoy to NI. Adams ruled out decommissioning before a political settlement. 
527, 1994-12        , Major on Decommissioning             ," Major stated ""huge progress"" on IRA arms destruction was needed before formal talks with Sinn Féin. "
528, 1994-12        , Bruton Elected Taoiseach             , John Bruton (Fine Gael) became Taoiseach in a coalition. PUP/UDP met Stormont officials. Bruton shook hands with Adams. 
529, 1995-01        , Army Patrols Reduced                 ," Daytime army patrols in Belfast ended. NIO lifted bans on meetings with Sinn Féin, UDP, and PUP. "
530, 1995-03        , Mayhew’s Decommissioning Demand      ," Mayhew required ""actual decommissioning of some arms"" for Sinn Féin’s inclusion in talks. UDP attended Clinton’s St. Patrick’s Day event. "
531, 1995-07        , Drumcree March Crisis                ," RUC rerouted an Orange march from Garvaghy Road, sparking loyalist protests. Later allowed, leading to nationalist riots. "
532, 1995-09        , Trimble Elected UUP Leader           ," David Trimble became UUP leader, defeating Taylor and Maginnis.            "
533, 1995-11        , Twin-Track Initiative                , Governments launched preparatory talks and an International Body on decommissioning. Clinton shook hands with Adams in Belfast. 
534, 1996-01        , Mitchell Commission Report           ," The Mitchell Report recommended parallel talks and decommissioning. Major announced NI elections, opposed by Dublin and SDLP. "
535, 1996-02-09     , Canary Wharf Bombing                 ," IRA ended ceasefire with a London bombing, killing two and causing massive damage. "
536, 1996-06        , Stormont Talks Begin                 ," All-party talks (excluding Sinn Féin) opened at Stormont, chaired by George Mitchell. "
537, 1996-06-15     , Manchester Bombing                   , IRA bomb injured 200 in Manchester city center.                            
538, 1996-07        , Drumcree Standoff                    ," RUC reversed ban on Orange march, leading to nationalist riots. SDLP withdrew from NI Forum. "
539, 1997-05        , Labour Victory & Sinn Féin MPs       , Tony Blair became PM. Adams and McGuinness elected MPs. Mo Mowlam appointed NI Secretary. 
540, 1997-07-20     , IRA Ceasefire Restored               , IRA announced a new ceasefire. Mowlam allowed Sinn Féin into talks.         
541, 1997-09        , Sinn Féin Joins Talks                , Sinn Féin signed Mitchell Principles and entered all-party talks. UUP joined reluctantly. 
542, 1997-10        , McAleese Elected President           ," Mary McAleese became Irish president, the first from NI.                   "
543, 1997-12        , Mase Prison Killing                  ," INLA assassinated LVF leader Billy Wright, triggering retaliatory killings of 8 Catholics and 1 Protestant. "
544, 1998-01        , Mowlam’s Mase Prison Visit           , Mowlam visited UDA inmates to prevent opposition to the peace process. Sinn Féin rejected settlement proposals. 
545, 1998-01        , Continuity IRA Bomb in Enniskillen   ," A bomb exploded outside a nightclub, blamed on the Continuity IRA.          "
546, 1998-01        , Saville Inquiry Announced            ," Blair announced an inquiry into Bloody Sunday, led by Lord Saville.         "
547, 1998-02        , Sinn Féin Suspended from Talks       , Sinn Féin was excluded after the RUC linked the IRA to recent killings.     
548, 1998-02        , Portadown Car Bomb                   , A large car bomb caused significant damage in Portadown.                   
549, 1998-03        , Poyntspass LVF Killings              , Two men were shot dead by the LVF in a bar attack.                          
550, 1998-03        , Mitchell’s Deadline Set              ," George Mitchell set a 9 April deadline for agreement, declaring: ""Time for decision."" "
551, 1998-04-07     , UUP Rejects Mitchell Draft            ," The UUP rejected Mitchell’s draft as a ""Sinn Féin wish list,"" creating crisis. "
552, 1998-04-08     ," Blair’s ""Hand of History"" Speech      "," Blair arrived in Belfast, stating: ""I feel the hand of history upon our shoulders."" "
553, 1998-04-09     , Midnight Deadline Passes             ," Talks continued past Mitchell’s deadline with no agreement. Paisley warned of ""war."" "
554, 1998-04-10     , Good Friday Agreement Reached        ," After all-night negotiations, parties agreed to a peace deal. Trimble secured UUP backing. "
555, 1998-04-11     , UUP Executive Backs Agreement         , Trimble won UUP executive support (55–23) for the Good Friday Agreement.    
556, 1998-04-18     , UUP Council Approves Agreement        , The UUP ruling council endorsed the agreement by 540–210 votes.            
557, 1998-05-22     , Referendums Approve Agreement         , 71.1% in NI and 94.4% in the Republic voted yes. The Irish constitutional claim to NI was dropped. 
558, 1998-06-25     , Assembly Elections                    , Pro-agreement parties won 80 seats; anti-agreement factions won 28.         
559, 1998-07-01     , Assembly Convenes                     , Trimble and Mallon elected First and Deputy First Ministers.                
560, 1998-07        , Drumcree Riots                        , Loyalist riots erupted after the Parades Commission banned an Orange march. 
561, 1998-07-12     , Ballymoney Arson Attack               , Three Catholic children killed in a loyalist arson attack.                  
562, 1998-08-15     , Omagh Bombing                         ," A Real IRA car bomb killed 29 people, the deadliest attack of the Troubles. "
563, 1998-08        , Real IRA & INLA Ceasefires            , The Real IRA and INLA announced ceasefires after Omagh.                     
564, 1998-10        , Trimble’s Decommissioning Demand      , Trimble insisted Sinn Féin could not join the executive without IRA disarmament. 
565, 1998-12-10     , Nobel Peace Prise Awarded             , Hume and Trimble received the Nobel Peace Prise in Oslo.                    
566, 1998-12        , LVF Weapons Handover                  ," The LVF surrendered some weapons, marking progress on decommissioning.      "
567, 1999-01        , UUP Decommissioning Warning          , The UUP warned that IRA failure to decommission would force renegotiation of the Good Friday Agreement. 
568, 1999-01        , RUC Recruitment Surge                , Catholic applications to the RUC reportedly doubled since the 1994 ceasefires. 
569, 1999-03        , Rosemary Nelson Assassination        , Lurgan solicitor Rosemary Nelson was killed by a loyalist car bomb. Investigations involved Kent Police and the FBI. 
570, 1999-03        , Pat Finucane Murder Inquiry          , John Stevens appointed to investigate the 1989 killing of solicitor Pat Finucane. 
571, 1999-03        , Anglo-Irish Treaties Signed          ," New treaties replaced the 1985 Anglo-Irish Agreement, establishing updated cross-border and intergovernmental structures. "
572, 1999-04        , Hillsborough Talks Stalemate         ," Governments proposed a declaration for voluntary weapons decommissioning, but talks remained deadlocked. "
573, 1999-05        ," ""Disappeared"" Body Recovered         "," Eamon Molloy’s body (missing since 1975) was found in County Louth, recovered by the IRA. "
574, 1999-06        , Loyalist Attack in Portadown         , Protestant woman Elisabeth O’Neill killed by a loyalist pipe bomb.          
575, 1999-07        , *The Way Forward* Plan               , Blair and Ahern proposed devolution by 15 July with decommissioning by May 2000. UUP rejected the timeline. 
576, 1999-07        , Executive Nomination Collapse        ," UUP boycotted Stormont, invalidating the executive. Mallon resigned as Deputy First Minister. "
577, 1999-08        , Mowlam’s Ceasefire Assessment        ," Mowlam stated the IRA ceasefire was ""deeply worrying"" but not yet broken.   "
578, 1999-09        , Patten Report on Policing            ," Proposed renaming the RUC to the Police Service of NI, sparking Unionist anger. "
579, 1999-09        , Mitchell Review Begins               , George Mitchell initiated a review of the peace process to break the deadlock. 
580, 1999-10        , Mandelson Replaces Mowlam            ," Peter Mandelson became NI Secretary, replacing Mo Mowlam.                  "
581, 1999-11        , IRA Decommissioning Commitment       , The IRA agreed to appoint a representative to the de Chastelain decommissioning body. 
582, 1999-11        , Executive Formed                     ," Trimble and Mallon led a power-sharing executive, including Sinn Féin and DUP ministers (DUP boycotted meetings). "
583, 1999-12-01     , Devolution Restored                  , Power transferred to the NI Assembly at midnight.                          
584, 1999-12-02     , Irish Constitutional Amendment       ," Articles 2 and 3 of the Irish constitution were amended, dropping the territorial claim to NI. "
585, 1999-12        , De Chastelain’s Optimistic Report    ," The decommissioning body reported progress, stating ""decommissioning will occur."" "
586, 1999-12        , North-South Ministerial Council      , First meeting of the cross-border council involving the Irish cabinet and NI executive. 
587, 2000-01        , Richard Jameson Killing              , Loyalist Richard Jameson was shot dead in Portadown amid a UVF-LVF feud.   
588, 2000-01        , De Chastelain Report Stalemate       , De Chastelain reported insufficient progress on IRA decommissioning. Trimble threatened resignation. 
589, 2000-02        , Devolution Suspended                 ," Mandelson suspended devolution, citing IRA inaction. Sinn Féin claimed progress via a new IRA statement. "
590, 2000-02        , Tandragee Killings                   ," Two men found dead near Portadown, linked to loyalist feuds.               "
591, 2000-03        , Trimble’s Leadership Challenge       , Martin Smyth challenged Trimble for UUP leadership but lost (57%–43%).     
592, 2000-05        , IRA Arms Offer                       ," The IRA pledged to ""put weapons beyond use"" if the Good Friday Agreement was fully implemented. "
593, 2000-05-27     , UUP Rejoins Executive                , UUP Council narrowly approved rejoining the executive (459–403) after IRA concessions. 
594, 2000-05-29     , Devolution Restored                  , Power-sharing resumed at midnight. DUP ministers rotated roles to avoid direct participation. 
595, 2000-06        , Blair’s Guildford Four Apology       , Blair apologised to the Guildford Four for wrongful imprisonment.          
596, 2000-07        , Drumcree March Ban & Loyalist Riots  ," Parades Commission banned the march, sparking widespread loyalist violence and roadblocks. "
597, 2000-07        , Mase Prison Closure Announced        , The Mase prison was slated for closure by year-end.                         
598, 2000-08        , Loyalist Feud Escalates              ," UVF-UDA clashes in Belfast led to 3 deaths, 160 families displaced, and troops deployed. "
599, 2000-08        , Johnny Adair Re-arrested             , UDA leader Adair was jailed for breaching Good Friday Agreement terms.      
600, 2000-09        , MI6 Rocket Attack                    , Dissident republicans targeted MI6’s London HQ with a rocket.               
601, 2000-09        , South Antrim By-Election             ," DUP’s William McCrea won the UUP stronghold, signaling Unionist divisions.  "
602, 2000-10        , Real IRA Member Killed               ," Joseph O’Connor shot dead in Belfast, allegedly by the IRA.                 "
603, 2000-11        , Loyalist Feud Deaths                 , Four killed in four days amid UVF-UDA tensions.                             
604, 2000-12        , Clinton’s Farewell Visit             ," Clinton visited NI and Ireland, marking the end of his presidency.          "
605, 2000-12        , Loyalist Feud Declared Over          , UDA and UVF announced an end to their violent feud.                         
606, 2000-12        , De Chastelain’s Pessimistic Report   , The decommissioning body reported stalled progress on IRA disarmament.     
607, 2001-01        , Blair’s Belfast Visit                ," Blair sought progress on decommissioning, demilitarisation, and policing.  "
608, 2001-01        , John Reid Appointed NI Secretary     , Reid replaced Mandelson after his resignation.                             
609, 2001-03        , Real IRA London Bombing              , A car bomb exploded outside BBC headquarters.                              
610, 2001-05        , Trimble’s Resignation Threat         , Trimble vowed to resign as First Minister unless IRA decommissioned arms.  
611, 2001-06        , Westminster Election Shifts          , UUP lost 3 seats; DUP and Sinn Féin gained.                                
612, 2001-07        , Trimble Resigns as First Minister    , Triggered negotiations at Weston Park amid sectarian riots in Belfast.     
613, 2001-08        , IRA-De Chastelain Contact            ," IRA proposed decommissioning method, rejected by Trimble. Reid suspended devolution. "
614, 2001-09        , Loyalist School Protest              ," Loyalists blocked Catholic schoolgirls in Ardoyne, drawing global outrage. "
615, 2001-09        , John Hume Steps Down                 , Hume resigned as SDLP leader due to health issues.                         
616, 2001-10-23     , IRA Begins Decommissioning           ," IRA announced arms disposal; de Chastelain confirmed ""significant"" progress. "
617, 2001-11        , PSNI Replaces RUC                    ," Police Service of NI launched, removing RUC branding.                      "
618, 2001-12        , Omagh Bombing Report Criticised      , Ombudsman O’Loan condemned police handling of the 1998 Omagh bombing probe. 
619, 2002-03        , Castlereagh Raid                     ," IRA raided Special Branch HQ, stealing sensitive documents.                "
620, 2002-04        , Second IRA Decommissioning           , IRA confirmed a second weapons disposal act.                               
621, 2002-05        , Hugh Orde Appointed Chief Constable  , Former Stevens inquiry member took over PSNI leadership.                   
622, 2002-08        , Real IRA Derry Bombing               , David Caldwell killed by a bomb at a Territorial Army base.                
623, 2002-10        , Stormont Raid & Devolution Suspended , Police raided Sinn Féin offices; Reid suspended power-sharing.             
624, 2003-01        , Johnny Adair Reimprisoned            , UDA leader Adair jailed amid loyalist feud violence.                       
625, 2003-02        , UDA Feud Escalates                   , UDA brigadier John Gregg killed; Adair’s family fled NI.                   
626, 2003-04        , Bush-Blair-Ahern Summit              ," Leaders demanded a ""complete break"" from paramilitarism.                   "
627, 2003-10        , Third IRA Decommissioning            ," Over 100 tonnes of weapons disposed, confirmed by de Chastelain.           "
628, 2003-11        , Assembly Election Shift              , DUP (30 seats) and Sinn Féin (24) dominated; UUP and SDLP declined.        
629, 2003-12        , UUP Defections to DUP                ," Jeffrey Donaldson and others left UUP, joining the DUP.                    "
630, 2004-02        , Good Friday Agreement Review Begins  , Formal review initiated amid tensions over alleged IRA activity.            
631, 2004-03        , UUP Withdraws from Review            ," Trimble withdrew UUP team, calling SF exclusion failure ""appalling.""      "
632, 2004-04        , SF & PUP Financial Penalties         , IMC recommended penalties for IRA and UVF paramilitary activity.           
633, 2004-06        , European Election Shifts             ," DUP and SF gained seats; UUP retained one, SDLP lost Hume’s seat.        "
634, 2004-08        , UVF-LVF Feud Killing                 , Michael Green became the fourth UVF feud victim in months.                 
635, 2004-09        , Leeds Castle Talks                   , Blair and Ahern hosted talks; DUP refused direct SF engagement.           
636, 2004-10        , UDA Leader Killed                    , Jim Gray shot dead by former associates in east Belfast.                   
637, 2004-11        , Birmingham Bombings Anniversary      , Adams expressed regret for 1974 IRA attack that killed 21.                 
638, 2004-12-08     , Blair-Ahern Proposals                ," PMs presented proposals to break deadlock; IRA rejected ""humiliation.""    "
639, 2004-12-20     , Northern Bank Heist                  , £26.5M stolen; IRA blamed but denied involvement. SF supported denial.    
640, 2005-01-30     , Robert McCartney Killing             , IRA-linked murder sparked international outcry and SF expulsions.          
641, 2005-03        , McCartney Family in White House      ," Victim’s family met President Bush, sidelining NI politicians on St. Patrick’s Day. "
642, 2005-04        , Adams Calls for IRA Democratisation , Urged IRA to embrace democratic means during SF election campaign.         
643, 2005-05        , Westminster Election Shift           , DUP won 9 seats; Trimble lost seat. SF (5) and SDLP (3) held ground.       
644, 2005-07-28     , IRA Ends Armed Campaign              ," Historic announcement to pursue peace; Blair called it ""unparalleled.""    "
645, 2005-08        , Demilitarisation Plan                , UK announced base closures and police station de-fortification.            
646, 2005-09        , IRA Decommissioning Completed        ," All weapons ""put beyond use,"" verified by clergy. Paisley demanded proof.  "
647, 2005-12        , Stormont Spy Case Collapse           , Acquittals and exposure of Denis Donaldson as a security agent.            
648,2005, Troubles-Related Deaths              ," Eight killed in violence, including loyalist feuds and paramilitary activity. "
649, 2006-01        , OTR Proposals Dropped                ," UK government abandoned plans to address paramilitary fugitives (""on-the-runs""). "
650, 2006-04-06     , Blair-Ahern Restoration Plan         , PMs announced a deadline (24 Nov) for restoring devolution or dissolving the assembly. 
651, 2006-04        , Denis Donaldson Killing              , Former SF official and security agent found shot dead in Donegal; IRA denied involvement. 
652, 2006-05-15     , Assembly Reconvenes                  , NI Assembly met for the first time since 2002 but made slow progress.       
653, 2006-09        , Paisley Demands IRA Disbandment      , DUP leader called for the IRA to disband entirely.                          
654, 2006-10        , St Andrews Agreement                 , Multi-party talks in Scotland set a roadmap for devolution by March 2007.  
655, 2006-11-07     , Assembly Election Date Set           , Elections scheduled for 7 March 2007; transitional assembly continued.     
656, 2006-11        , Michael Stone Stormont Attack        , Loyalist killer attempted to assassinate Adams and McGuinness at Stormont. 
657, 2006-12-29     , SF Policing Conference               , SF agreed to hold a special conference on supporting the PSNI.              
658, 2007-01        , SF Backs PSNI                        , SF voted overwhelmingly to endorse policing and criminal justice reforms.  
659, 2007-01        , PUP Leader David Ervine Dies         ," PUP leader died suddenly, impacting loyalist political representation.     "
660, 2007-02        , South Armagh Demilitarisation        , Last British army watchtower dismantled as part of normalisation.          
661, 2007-03        , Assembly Election Dominance          , DUP (36 seats) and SF (28) solidified control; UUP and SDLP declined.      
662, 2007-03-26     , Power-Sharing Agreement              , DUP and SF agreed to form an executive by 8 May after tense negotiations.  
663, 2007-05-08     , Devolution Restored                  , Paisley and McGuinness sworn in as First and Deputy First Ministers.       
664, 2007-05        , UVF Disarmament Pledge               ," UVF vowed to put weapons ""beyond reach"" and wind down activities.          "
665, 2007-06        , INLA Killing in Derry                , Brian McGlynn shot dead; IMC blamed the INLA.                              
666, 2007-11        , Dissident Attack on Police           , Constable Jim Doherty wounded in Derry by dissident republicans.           
667, 2007-12        , Traditional Unionist Voice Founded   , Jim Allister formed TUV after splitting from DUP over power-sharing.       
668, 2008-01        , Omagh Bombing Review                 , Policing Board commissioned independent experts to re-examine evidence.   
669, 2008-02        , UDA Disbands UFF                     , UDA retired the UFF cover name and pledged to render weapons unusable.     
670, 2008-03        , Paisley Resignation                  , Ian Paisley announced plans to step down as DUP leader and First Minister. 
671, 2008-05        , Robinson-McGuinness Leadership       , Peter Robinson and Martin McGuinness elected as new First and Deputy First Ministers. 
672, 2008-05        , Dissident Bombing in Castlederg      , Catholic PSNI officer injured by a dissident republican car bomb.          
673, 2008-06        , Bush Visits Stormont                 , President Bush made a brief stop at Stormont during a European tour.       
674, 2008-07        , McGurk’s Bar Apology                 , NIO minister apologised for 1971 loyalist bombing; HET dismissed IRA claims. 
675, 2008-08        , Omagh Bombing Anniversary            , Ceremony marked the 10th anniversary of the attack that killed 29.         
676, 2008-11        , Executive Resumes Meetings           , DUP and SF agreed to restart executive meetings after a 20-week stalemate. 
677, 2008-12        , McIlhone Remains Found               , IRA victim Danny McIlhone’s remains identified in Wicklow mountains.       
678,2008, Troubles-Related Deaths              ," Two people killed in violence, including dissident republican activity.    "
679, 2011-01        , Michaela McAreavey Murder            , Daughter of Tyrone GAA manager killed in Mauritius; cross-community mourning. 
680, 2011-01        , Derry City Bombing                   ," Real IRA bomb exploded outside City of Culture HQ, causing minor damage.    "
681, 2011-02        , Robinson’s Retirement Plans          , Robinson announced intent to retire around age 65.                          
682, 2011-02        , McGurk’s Bar Report                  , Police Ombudsman confirmed RUC bias falsely blamed IRA for 1971 bombing.    
683, 2011-02        , Irish General Election               , Fine Gael–Labour coalition formed; SF surged to 14 seats.                   
684, 2011-03        , Stormont Budget Agreement            ," DUP, SF, and Alliance pushed through budget despite SDLP/UUP opposition.    "
685, 2011-03        , PSNI Recruitment Policy Change       , 50/50 Catholic-Protestant recruitment ended; Catholic membership reached 30%. 
686, 2011-04        , Ronan Kerr Killing                   , Catholic PSNI officer killed by dissident republican bomb; cross-community funeral attended by Robinson and McGuinness. 
687, 2011-05        , Assembly Election                    , DUP and SF consolidated power; UUP and SDLP declined.                       
688, 2011-05        , Queen’s Historic Visit               ," Queen visited Ireland, including sensitive sites like Croke Park.           "
689, 2011-05        , Mary McArdle Controversy             , SF adviser appointment sparked outrage due to her IRA past.                 
690, 2011-06        , Smithwick Tribunal Begins            , Inquiry into 1989 IRA killing of two RUC officers; met former IRA members.  
691, 2011-06        , Short Strand Riots                   , UVF blamed for clashes in east Belfast.                                     
692, 2011-06        , Derry Peace Bridge Opened            , Symbolic bridge linking Catholic and Protestant areas of Derry.             
693, 2011-07        , East Belfast Riots                   , Loyalist riots after Orange parade; police used water cannon and baton rounds. 
694, 2011-08        , Derry Apprentice Boys Riots          , Nationalist youths rioted after annual parade.                              
695, 2011-09        , McGuinness Presidential Campaign     ," Ran for Irish president, called Enniskillen bombing ""atrocious.""            "
696, 2011-09        , Attacks on PSNI Officers             , Multiple bomb attempts targeting police in Newtownabbey and Claudy.         
697, 2011-10        , UDA US Lobbying Trip                 , Loyalist leaders sought international support for community initiatives.    
698, 2011-10        , Finucane Meeting Walkout             , Family rejected Cameron’s limited inquiry offer into 1989 killing.          
699, 2011-11        , SDLP Leadership Change               , Alasdair McDonnell elected leader.                                          
700, 2011-12        , Miami Showband Report                , HET confirmed RUC collusion in 1975 UVF attack.                             
701, 2011-12        , Keady Bomb Defused                   , Army disarmed device near PSNI station.                                     
702, 2012-01        , Soldier Car Bomb                     , Device found under vehicle of visiting soldier.                             
703, 2012-01        , Derry Bombings                       , Two explosions caused damage but no injuries.                               
704, 2012-01        , Robinson Attends GAA Match           ," First DUP leader to attend a GAA event, signaling cross-community outreach. "
